# this is the visual representation in text form, it shoudl actually be a csv file

Date Received,Individual Contribution,Amount Received
2018-07-05,,150
2018-07-06,,400
2018-07-07,,600
2018-07-08,,800
2018-07-08,,1100
2018-07-08,,1600
2018-07-08,,1800
2018-07-08,,2100
2018-07-08,,2400
2018-07-11,,3600
2018-07-11,,4800
2018-07-17,,5300
2018-07-17,,6300
2018-07-24,,6800
2018-08-01,,6950
2018-08-03,,7150
2018-08-13,,7350
2018-08-15,,8550
2018-08-15,,9750
2018-08-17,,"10,950"
2018-08-24,,11150
2018-08-26,,12350
2018-08-28,,12500
2018-09-07,,13500
2018-09-18,,13700
2018-09-20,,13950
2018-09-20,,"15,150"
2018-09-25,,15350
2018-09-26,,15550
2018-09-27,,15900
2018-09-28,,16100
2018-10-06,,16300
2018-10-07,,16900
2018-10-10,,17200
2018-10-12,,17800
2018-10-15,,18600
2018-10-15,,19800
2018-10-20,,20800
2018-10-20,,22000
2018-10-23,,23200
2018-10-25,,23450
